episode_number,episode_pid,episode_title,episode_date,track_type,title,artist,release_year,original_year,is_cover,original_artist,genre1,genre2,genre3,other_genres,spotify_id,album_art_url,mb_recording_id,mb_work_id,source,needs_review,notes
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,featured,Etudes: No 6,Philip Glass,2017,,False,Philip Glass,minimalism,contemporary classical,classical,,3dzgmH9o9P9Kw4n3P3bWOR,https://i.scdn.co/image/ab67616d00004851d2c404651e4f654f171778d4,e6be2fc9-c050-49f6-bd5c-0ccbcbc9cedf,f4e481ae-e994-4ca5-aff0-d2d8c1d06ccf,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,featured,Pyramid Song,Radiohead,2001,,False,Colin Greenwood,art rock,alternative rock,,,55q3Ro66yXWi9rsEddeEN4,https://i.scdn.co/image/ab67616d00004851863e0e305637100311c91aa7,5dc2a776-6eac-4b85-ba75-422f337f0bf2,79672bc6-f458-3312-8975-e5b72a31b7cd,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,featured,Hassle Attack,Ann Rabson,2000,,False,,blues,boogie-woogie,modern blues,,3YZmRHARCbsW1a7Epbt6zP,https://i.scdn.co/image/ab67616d000048516663cba0b8f81b2e067ea667,ad9e4859-05e6-417f-8b6a-3fdf2016f9d1,,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,featured,Ballaké Sissoko,Sona Jobarteh,2022,,False,,,,,,32lEaWmm6W2dGOUSwwYovs,https://i.scdn.co/image/ab67616d00004851cb2b35da9b48fc2db52928ae,4677c5cc-612b-4f58-b791-9ab44b6d579e,,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,featured,On the Road Again (Live),Willie Nelson,1975,,False,,outlaw country,classic country,country,,51wQovDO0hf05pkZYvu1GI,https://i.scdn.co/image/ab67616d00004851d1c4c7921ae226655794e035,35221e9d-81ac-4f94-9ad4-4c3efe4b75fa,,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,background,Mary Ann,Buddy Guy,1993,,False,,blues,classic blues,blues rock,,6aENAvyxfR6LU8KPg5jnUV,https://i.scdn.co/image/ab67616d00004851c4f5a7acc1ddba46680ea814,0bcee53b-0ebf-4af9-8ce3-4bd152362d2f,,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,background,With Love,Thin Lizzy,1979,,False,,classic rock,hard rock,,,0zvT55qvpBL4tlz0UbPjd5,https://i.scdn.co/image/ab67616d000048511008d9c7f2a0ba80cde5decc,4d4c6f57-db4c-4279-a2be-15010f53cb14,,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,background,Sex Machine,James Brown,2021,,False,James Brown,funk,soul,motown,,2xTv6Qqa8BhbdHr3Z3Cs6s,https://i.scdn.co/image/ab67616d00004851feb8d8767f8148ae7c7dd9ec,01c8945f-e235-471a-815b-009fc33d4f3b,c1799562-29b9-3105-adaf-aac56cdd56ad,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,background,Big Yellow Taxi,Joni Mitchell,1970,,False,Joni Mitchell,folk,jazz,pop,,6UkMcAA19lTdjs22jtB7o2,https://i.scdn.co/image/ab67616d00004851b80ea8399313aeffb10b0acb,d84a716c-1377-46a3-b2dc-5a8268e9ed00,be39cb45-a437-43dc-b484-1cd13c4a43c3,spotify+musicbrainz,False,
114,m002s4qn,Andrew Roachford and Carol Jarvis celebrate a former taxi driver,2026-03-06,background,Diary of a Taxi Driver,Bernard Herrmann,1976,,False,,score,,,,29FOKjOlq0uvg9bs9dDzHx,https://i.scdn.co/image/ab67616d000048510ceb10ceef56846ba1282d15,06bdfb15-8626-4587-be8f-8cb0037703c8,,spotify+musicbrainz,False,
